Name,City,Ranking,Rating,Price Range,Number of Reviews
Uma,Barcelona,1,5,$$$$,792
Viana,Barcelona,3,5,$$ - $$$,2707
Blavis,Barcelona,2,5,$$ - $$$,643
My Restaurant,Barcelona,4,5,$$ - $$$,159
Bodega Biarritz,Barcelona,5,5,$$ - $$$,1078
Santa Rita Experience,Barcelona,6,5,$$$$,329
Rudi of Pirate Cooking,Barcelona,8,5,$$ - $$$,110
Chaka Khan,Barcelona,7,5,$$ - $$$,479
Spoonik Restaurant,Barcelona,9,5,$$$$,408
The Box,Barcelona,10,4.5,$,834
